datetime,open,high,low,close,volume
2022-01-01 00:00:00+00:00,1.309,1.332,1.308,1.33,2814528.99
2022-01-01 01:00:00+00:00,1.33,1.336,1.326,1.328,2036539.61
2022-01-01 02:00:00+00:00,1.328,1.334,1.325,1.325,1038307.8
2022-01-01 03:00:00+00:00,1.325,1.33,1.323,1.326,744023.65
2022-01-01 04:00:00+00:00,1.326,1.326,1.306,1.308,1631270.83
2022-01-01 05:00:00+00:00,1.308,1.337,1.308,1.327,1469095.81
2022-01-01 06:00:00+00:00,1.327,1.329,1.316,1.317,1166009.08
2022-01-01 07:00:00+00:00,1.317,1.327,1.315,1.325,502610.83
2022-01-01 08:00:00+00:00,1.325,1.329,1.322,1.326,308384.73
2022-01-01 09:00:00+00:00,1.326,1.332,1.32,1.325,238945.57
2022-01-01 10:00:00+00:00,1.325,1.332,1.312,1.318,410194.75
2022-01-01 11:00:00+00:00,1.318,1.325,1.317,1.319,332799.31
2022-01-01 12:00:00+00:00,1.319,1.332,1.319,1.332,375783.96
2022-01-01 13:00:00+00:00,1.332,1.339,1.327,1.329,726792.69
2022-01-01 14:00:00+00:00,1.329,1.335,1.326,1.328,443049.81
2022-01-01 15:00:00+00:00,1.328,1.338,1.327,1.333,371859.8
2022-01-01 16:00:00+00:00,1.333,1.34,1.332,1.335,528222.49
2022-01-01 17:00:00+00:00,1.335,1.348,1.331,1.347,1472273.07
2022-01-01 18:00:00+00:00,1.347,1.347,1.338,1.343,776017.93
2022-01-01 19:00:00+00:00,1.343,1.348,1.339,1.347,902878.23
2022-01-01 20:00:00+00:00,1.347,1.358,1.346,1.354,1187379.38
2022-01-01 21:00:00+00:00,1.354,1.364,1.351,1.361,1626714.38
2022-01-01 22:00:00+00:00,1.361,1.376,1.358,1.373,926864.06
2022-01-01 23:00:00+00:00,1.373,1.38,1.364,1.38,1157740.49
2022-01-02 00:00:00+00:00,1.38,1.382,1.365,1.373,838040.07
2022-01-02 01:00:00+00:00,1.373,1.374,1.349,1.351,1311267.61
2022-01-02 02:00:00+00:00,1.351,1.362,1.351,1.356,677970.84
2022-01-02 03:00:00+00:00,1.356,1.36,1.353,1.355,244192.63
2022-01-02 04:00:00+00:00,1.355,1.369,1.343,1.349,1193371.23
2022-01-02 05:00:00+00:00,1.349,1.355,1.346,1.355,308875.77
2022-01-02 06:00:00+00:00,1.355,1.362,1.35,1.357,540203.87
2022-01-02 07:00:00+00:00,1.357,1.365,1.352,1.355,626788.26
2022-01-02 08:00:00+00:00,1.355,1.358,1.349,1.357,395494.36
2022-01-02 09:00:00+00:00,1.357,1.368,1.355,1.358,614422.35
2022-01-02 10:00:00+00:00,1.358,1.363,1.357,1.361,253783.65
2022-01-02 11:00:00+00:00,1.361,1.367,1.361,1.364,350437.61
2022-01-02 12:00:00+00:00,1.364,1.374,1.356,1.367,737823.06
2022-01-02 13:00:00+00:00,1.367,1.368,1.359,1.359,440297.98
2022-01-02 14:00:00+00:00,1.359,1.366,1.356,1.361,517501.29
2022-01-02 15:00:00+00:00,1.361,1.372,1.36,1.37,769562.29
2022-01-02 16:00:00+00:00,1.37,1.386,1.37,1.384,1422326.01
2022-01-02 17:00:00+00:00,1.384,1.391,1.378,1.38,1586215.97
2022-01-02 18:00:00+00:00,1.38,1.38,1.356,1.368,2046351.76
2022-01-02 19:00:00+00:00,1.368,1.373,1.362,1.363,555042.63
2022-01-02 20:00:00+00:00,1.363,1.365,1.358,1.364,974880.84
2022-01-02 21:00:00+00:00,1.364,1.368,1.36,1.363,682006.38
2022-01-02 22:00:00+00:00,1.363,1.374,1.363,1.371,608817.37
2022-01-02 23:00:00+00:00,1.371,1.38,1.371,1.378,501961.66
2022-01-03 00:00:00+00:00,1.378,1.378,1.362,1.363,1045380.33
