datetime,open,high,low,close,volume
2022-01-01 00:00:00+00:00,24.44,25.04,24.41,25.02,42998.78
2022-01-01 01:00:00+00:00,25.02,25.23,24.9,24.99,30842.91
2022-01-01 02:00:00+00:00,24.99,25.17,24.97,25.07,29375.46
2022-01-01 03:00:00+00:00,25.07,25.13,25.01,25.02,17309.8
2022-01-01 04:00:00+00:00,25.02,25.08,24.76,24.79,29870.44
2022-01-01 05:00:00+00:00,24.79,25.34,24.79,25.1,82957.38
2022-01-01 06:00:00+00:00,25.1,25.28,25.03,25.18,21433.74
2022-01-01 07:00:00+00:00,25.18,25.35,25.0,25.24,27107.47
2022-01-01 08:00:00+00:00,25.24,25.39,25.14,25.17,34982.66
2022-01-01 09:00:00+00:00,25.17,25.22,24.88,25.02,25203.22
2022-01-01 10:00:00+00:00,25.02,25.18,24.65,24.88,36528.49
2022-01-01 11:00:00+00:00,24.88,25.02,24.82,24.82,12369.52
2022-01-01 12:00:00+00:00,24.82,25.16,24.82,25.1,12271.85
2022-01-01 13:00:00+00:00,25.1,25.15,24.91,24.96,14693.85
2022-01-01 14:00:00+00:00,24.96,25.01,24.85,24.91,13620.69
2022-01-01 15:00:00+00:00,24.91,25.28,24.86,25.15,18437.52
2022-01-01 16:00:00+00:00,25.15,25.34,25.12,25.16,17350.22
2022-01-01 17:00:00+00:00,25.16,25.64,25.16,25.45,23603.59
2022-01-01 18:00:00+00:00,25.45,25.59,25.28,25.34,16352.17
2022-01-01 19:00:00+00:00,25.34,25.71,25.34,25.62,77188.99
2022-01-01 20:00:00+00:00,25.62,26.01,25.48,25.75,22096.64
2022-01-01 21:00:00+00:00,25.75,25.85,25.4,25.47,74354.45
2022-01-01 22:00:00+00:00,25.47,25.62,25.43,25.52,11930.16
2022-01-01 23:00:00+00:00,25.52,25.67,25.39,25.61,14265.99
2022-01-02 00:00:00+00:00,25.61,26.63,25.39,26.57,110755.26
2022-01-02 01:00:00+00:00,26.57,27.03,26.25,26.86,67443.44
2022-01-02 02:00:00+00:00,26.86,27.87,26.53,27.33,132848.61
2022-01-02 03:00:00+00:00,27.33,27.93,27.19,27.59,71732.6
